Date;Open;High;Low;Last Close;Chg.%;Total Value;Total Volume
05/18/2009;16.714;17.012;16.097;17.012;+1.48%;44,514,513;2,665,644
05/19/2009;17.599;18.604;17.460;17.947;+5.50%;67,751,214;3,744,382
05/20/2009;18.057;19.300;18.027;19.300;+7.54%;37,932,296;2,029,307
05/22/2009;18.355;18.664;17.907;18.355;-4.90%;42,669,829;2,329,120
05/25/2009;18.504;18.952;17.917;17.957;-2.17%;25,373,371;1,382,359
05/26/2009;17.907;18.216;17.112;18.087;+0.72%;47,435,499;2,690,540
05/27/2009;18.455;18.504;17.420;17.599;-2.70%;26,388,077;1,471,971
05/28/2009;17.460;17.708;16.823;17.161;-2.49%;27,866,598;1,612,172
05/29/2009;17.460;17.808;16.714;16.923;-1.39%;52,779,358;3,067,102
06.02.2009;18.017;19.191;17.808;19.191;+13.40%;62,439,775;3,376,356
06.03.2009;19.201;19.251;18.644;18.703;-2.54%;61,672,942;3,260,961
06.04.2009;18.405;19.171;18.077;18.962;+1.38%;51,258,499;2,740,847
06.05.2009;19.201;20.245;19.161;20.166;+6.35%;80,430,872;4,050,604
06.08.2009;19.698;19.897;19.390;19.788;-1.87%;43,017,171;2,187,293
06.09.2009;20.007;20.255;19.818;19.877;+0.45%;31,455,240;1,568,801
06.10.2009;20.255;20.633;20.076;20.325;+2.25%;51,114,542;2,509,580
06.12.2009;20.245;20.564;19.927;20.335;+0.05%;30,821,500;1,522,736
06/15/2009;19.947;20.096;19.012;19.032;-6.41%;27,139,276;1,396,566
06/16/2009;19.002;19.221;18.504;18.504;-2.77%;49,107,136;2,604,745
06/17/2009;18.494;18.763;17.957;17.997;-2.74%;31,551,936;1,725,885
06/18/2009;18.156;19.101;18.136;18.435;+2.43%;41,024,288;2,221,189
06/19/2009;18.564;18.942;18.524;18.833;+2.16%;63,439,526;3,370,679
06/22/2009;18.902;18.902;17.112;17.112;-9.14%;32,943,494;1,844,613
06/23/2009;17.161;18.007;16.913;17.231;+0.70%;47,535,077;2,721,582
06/24/2009;17.609;18.544;17.311;18.544;+7.62%;29,573,509;1,639,386
06/25/2009;18.604;18.703;17.848;18.415;-0.70%;34,725,187;1,893,014
